Team,Moneyline
MIN Twins,+140
BAL Orioles,−166
COL Rockies,+210
PHI Phillies,−258
SF Giants,−130
MIA Marlins,+110
LA Angels,+124
TB Rays,−148
NY Yankees,+100
TOR Blue Jays,−120
CLE Guardians,+102
BOS Red Sox,−122
PIT Pirates,−108
NY Mets,−112
SD Padres,−122
MIL Brewers,+102
KC Royals,−198
CHI White Sox,+164
ATL Braves,−112
HOU Astros,−108
CHI Cubs,+105
ARI Diamondbacks,−125
CIN Reds,+110
SEA Mariners,−130
STL Cardinals,−148
OAK Athletics,+124
WAS Nationals,+240
LA Dodgers,−298
