Team,Moneyline_dk
CIN Bengals,−118
PIT Steelers,−102
MIN Vikings,+200
DET Lions,−245
BUF Bills,−180
NE Patriots,+150
CHI Bears,+142
GB Packers,−170
HOU Texans,−155
TEN Titans,+130
WAS Commanders,+190
DAL Cowboys,−230
JAX Jaguars,+110
IND Colts,−130
NY Giants,+170
PHI Eagles,−205
MIA Dolphins,+130
NY Jets,−155
NO Saints,+114
TB Buccaneers,−135
CAR Panthers,+225
ATL Falcons,−278
CLE Browns,+170
BAL Ravens,−205
KC Chiefs,−192
DEN Broncos,+160
LA Chargers,−115
LV Raiders,−105
SF 49ers,−198
ARI Cardinals,+164
SEA Seahawks,+185
LA Rams,−225
